State,Avg_AI_Interest,pct_with_internet,pct_no_internet,pct_bachelors_plus,median_household_income,pct_knowledge
District of Columbia,100,89.11886251721899,10.881137482781005,62.63609274529711,101722.0,0.4433887569279494
California,98,91.58987706504338,8.410122934956625,35.86440155903851,91905.0,0.4165741316514169
Georgia,92,87.88928896310392,12.110711036896078,33.63367520555638,71355.0,0.37749019921593724
New Jersey,90,90.7220776682425,9.277922331757491,42.25247755446823,97126.0,0.42964549348400627
Texas,88,88.51936594762925,11.480634052370737,32.265896982002175,73035.0,0.3678777783198701
Arizona,88,89.40184058038739,10.598159419612607,31.798873489201284,72581.0,0.40163506162215323
Maryland,86,90.72098817837183,9.27901182162818,42.223142911132264,98461.0,0.40765069551777433
Virginia,84,88.87152195164656,11.128478048353443,40.96576834953444,87249.0,0.4056661061285501
Florida,82,88.94097653888979,11.059023461110218,32.33321867666608,67917.0,0.4035567851598265
Massachusetts,82,90.81745862360201,9.182541376397987,45.909850224619376,96505.0,0.4801665100040285
North Carolina,80,87.12011891167174,12.87988108832826,33.86575669760874,66186.0,0.36831259567452995
Delaware,79,90.51542416452442,9.484575835475578,34.461651369859105,79325.0,0.4226407452409882
Colorado,77,91.99809134503109,8.001908654968911,43.73070433568681,87598.0,0.3788734748453953
New York,77,88.36685746101367,11.633142538986338,38.79253659727761,81386.0,0.4868413164678377
Washington,76,92.27573044690112,7.724269553098878,37.95256833617775,90325.0,0.3963078267518706
Utah,76,92.12669325633057,7.8733067436694295,36.130931941575135,86833.0,0.3661765534336094
Connecticut,76,90.26448301079509,9.735516989204905,41.38488331039079,90213.0,0.4350075572607836
Nevada,76,88.87915914377861,11.12084085622139,26.5493827532958,71646.0,0.31641296732692187
Illinois,74,88.32863967496122,11.671360325038778,36.67159211270079,78433.0,0.3928205794887629
Rhode Island,73,89.31421339644949,10.685786603550515,36.2804103287505,81370.0,0.4381934981506716
Alabama,71,84.10144065385511,15.898559346144895,27.208387292476054,59609.0,0.2981624452571222
Minnesota,70,90.00374979057021,9.996250209429792,38.19541233824559,84313.0,0.39962660902034
New Mexico,70,82.01062432029447,17.989375679705528,29.074668667724847,58722.0,0.35654288240495136
Mississippi,70,80.18771588262942,19.812284117370588,23.881814052782012,52985.0,0.27971795935296556
South Carolina,69,85.1924659616378,14.807534038362204,30.640913106358813,63623.0,0.33071028345418596
Michigan,68,88.02988985728763,11.97011014271237,31.135980297585668,68505.0,0.36802982177518967
Pennsylvania,68,87.43074096886494,12.569259031135061,33.75646343268351,73170.0,0.4315661455249556
Hawaii,67,89.97470583129783,10.025294168702185,34.716179198829565,94814.0,0.30948725821307954
Kansas,67,88.15672515638127,11.84327484361873,34.68767518634637,69747.0,0.33592674194436795
Oklahoma,67,85.79375863180866,14.206241368191339,27.266807183527103,61364.0,0.3289130555401431
South Dakota,67,87.02268339493482,12.97731660506518,30.367563290870596,69457.0,0.3194150063586265
Louisiana,66,83.12801937840459,16.87198062159541,26.13043414181842,57852.0,0.3458676654182272
Nebraska,66,88.66314003856364,11.33685996143636,33.463338229621634,71722.0,0.3606803871816559
Indiana,66,86.960147663774,13.039852336226012,28.23526712062931,67173.0,0.32390300230946883
Idaho,66,90.04535607405641,9.954643925943586,30.209041356236433,70214.0,0.34119514684204555
Arkansas,65,82.6386411469206,17.361358853079388,24.70555115616481,56335.0,0.3367008226295281
Oregon,64,90.79527605901951,9.204723940980486,35.48265877451072,76632.0,0.3744958422546433
Missouri,63,86.80568549955173,13.194314500448273,31.19323646992731,65920.0,0.3757694089615461
New Hampshire,62,91.24865166313225,8.75134833686775,39.04816048079266,90845.0,0.3961489452074189
Ohio,62,87.81350429948753,12.186495700512465,30.370645802810277,66990.0,0.3694635440298768
Tennessee,62,85.89961435491509,14.100385645084915,29.706987941274864,64035.0,0.3524631047736408
North Dakota,61,86.00572432023698,13.994275679763026,31.42560285705256,73959.0,0.30640482035259986
Kentucky,60,85.80867581405708,14.191324185942925,26.47245337547508,60183.0,0.32227717971098824
Wisconsin,59,88.11129966423252,11.888700335767483,32.02389131364427,72458.0,0.3391012480855085
Wyoming,57,88.4235296127368,11.576470387263193,28.989387496745806,72495.0,0.22453781512605045
Iowa,56,86.63872652481632,13.361273475183683,30.28004853599049,70571.0,0.3195158660479117
Alaska,56,89.59776984295095,10.40223015704905,30.748285038621365,86370.0,0.2884955752212389
Maine,55,87.7496673400302,12.250332659969802,34.12279402481806,68251.0,0.38918507235338917
Vermont,55,86.70380428649881,13.296195713501191,41.724669032509645,74014.0,0.3709009869468322
Montana,50,87.14241626249952,12.857583737500477,33.978765497230285,66341.0,0.3282370705926765
West Virginia,49,83.00737388972684,16.992626110273168,22.71116112963212,55217.0,0.34840055632823363
